Year,Area,Fin,Sperm,Humpback,Sei,Bryde's,Minke,Gray,Bowhead,Total,CODE,latitudes,longitudes,size
2003.0,Antarctic,0.0,0.0,0.0,0.0,0.0,443.0,0.0,0.0,443.0,None,-62.9569253,-60.6328425,2.0
2003.0,Chukotka,0.0,0.0,0.0,0.0,0.0,0.0,128.0,3.0,131.0,None,69.4467673,-171.3853847,2.0
2003.0,E. Greenland,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,None,68.4275896,-32.55215,2.0
2003.0,Iceland,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,37.0,ISL,65.6750207,-9.0916241,2.0
2003.0,Indonesia,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,IDN,-9.6004834,121.7535375,2.0
2003.0,Japan,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,JPN,28.056319,149.4087118,2.0
2003.0,Korea,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,KOR,37.253807,131.2362315,2.0
2003.0,NE Atlantic,0.0,0.0,0.0,0.0,0.0,647.0,0.0,0.0,647.0,None,56.5499995,-24.0,2.0
2003.0,NW Pacific,0.0,10.0,0.0,50.0,50.0,101.0,0.0,0.0,211.0,None,31.3900266,-156.550517,2.0
2003.0,W. Greenland,9.0,0.0,1.0,0.0,0.0,185.0,0.0,0.0,195.0,None,75.3906409,-66.8595852,2.0
2003.0,W.Indies,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,None,13.6571919,-60.8986297,2.0
2004.0,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,None,58.1769992,-167.136665,2.0
2004.0,Antarctic,0.0,0.0,0.0,0.0,0.0,441.0,0.0,0.0,441.0,None,-62.9569253,-60.6328425,2.0
2004.0,Chukotka,0.0,0.0,0.0,0.0,0.0,0.0,111.0,1.0,112.0,None,69.4467673,-171.3853847,2.0
2004.0,E. Greenland,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,None,68.4275896,-32.55215,2.0
2004.0,Iceland,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,ISL,65.6750207,-9.0916241,2.0
2004.0,Indonesia,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,IDN,-9.6004834,121.7535375,2.0
2004.0,Japan,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,60.0,JPN,28.056319,149.4087118,2.0
2004.0,Korea,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,KOR,37.253807,131.2362315,2.0
2004.0,NE Atlantic,0.0,0.0,0.0,0.0,0.0,544.0,0.0,0.0,544.0,None,56.5499995,-24.0,2.0
2004.0,NW Pacific,0.0,3.0,0.0,100.0,51.0,100.0,0.0,0.0,254.0,None,31.3900266,-156.550517,2.0
2004.0,W. Greenland,13.0,0.0,1.0,0.0,0.0,179.0,0.0,0.0,193.0,None,75.3906409,-66.8595852,2.0
2005.0,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,68.0,None,58.1769992,-167.136665,2.0
2005.0,Antarctic,10.0,0.0,0.0,0.0,0.0,856.0,0.0,0.0,866.0,None,-62.9569253,-60.6328425,2.0
2005.0,Chukotka,0.0,0.0,0.0,0.0,0.0,0.0,124.0,2.0,126.0,None,69.4467673,-171.3853847,2.0
2005.0,E. Greenland,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,None,68.4275896,-32.55215,2.0
2005.0,Iceland,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,39.0,ISL,65.6750207,-9.0916241,2.0
2005.0,Indonesia,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,IDN,-9.6004834,121.7535375,2.0
2005.0,Japan,0.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,121.0,JPN,28.056319,149.4087118,2.0
2005.0,Korea,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,KOR,37.253807,131.2362315,2.0
2005.0,NE Atlantic,0.0,0.0,0.0,0.0,0.0,639.0,0.0,0.0,639.0,None,56.5499995,-24.0,2.0
2005.0,NE Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,None,53.8878796,-53.5909151,2.0
2005.0,NW Pacific,0.0,5.0,0.0,100.0,50.0,101.0,0.0,0.0,256.0,None,31.3900266,-156.550517,2.0
2005.0,W. Greenland,13.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,189.0,None,75.3906409,-66.8595852,2.0
2005.0,W.Indies,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,None,13.6571919,-60.8986297,2.0
2006.0,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0,None,58.1769992,-167.136665,2.0
2006.0,Antarctic,3.0,0.0,0.0,0.0,0.0,508.0,0.0,0.0,511.0,None,-62.9569253,-60.6328425,2.0
2006.0,Chukotka,0.0,0.0,0.0,0.0,0.0,0.0,134.0,3.0,137.0,None,69.4467673,-171.3853847,2.0
2006.0,E. Greenland,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,None,68.4275896,-32.55215,2.0
2006.0,Iceland,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,61.0,ISL,65.6750207,-9.0916241,2.0
2006.0,Indonesia,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,IDN,-9.6004834,121.7535375,2.0
2006.0,Japan,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,97.0,JPN,28.056319,149.4087118,2.0
2006.0,Korea,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,KOR,37.253807,131.2362315,2.0
2006.0,NE Atlantic,0.0,0.0,0.0,0.0,0.0,545.0,0.0,0.0,545.0,None,56.5499995,-24.0,2.0
2006.0,NW Pacific,0.0,6.0,0.0,101.0,51.0,100.0,0.0,0.0,258.0,None,31.3900266,-156.550517,2.0
2006.0,W. Greenland,10.0,0.0,1.0,1.0,0.0,181.0,0.0,0.0,193.0,None,75.3906409,-66.8595852,2.0
2006.0,W. Iceland,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,None,64.9098481,-21.9188185,2.0
